"","","Rank","Rank","University Name","Entry Standards
                            
                            
                                Entry Standards
                                The average UCAS tariff score of new students entering the University. These tables use the old UCAS tariff.
                                Read more","Student Satisfaction
                            
                            
                                Student Satisfaction
                                A guide to how satisfied students are with the quality of teaching they receive.
                                    Maximum score: 5.00
                                Read more","Research Quality
                            
                            
                                Research Quality
                                A measure of the quality of the research undertaken in the University.
                                    Maximum score: 4.00
                                Read more","Research Intensity
                            
                            
                                Research Intensity
                                A measure of the proportion of staff involved in high-quality research in the University.
                                    Maximum score: 1.00
                                Read more","Graduate Prospects
                            
                            
                                Graduate Prospects
                                A guide to the employability of graduates on completion of their courses at the University.
                                    Maximum score: 100.0
                                Read more","Student-Staff Ratio
                            
                            
                                Student-Staff Ratio
                                The average staffing levels at the University.
                                Read more","Academic Services Spend
                            
                            
                                Academic Services Spend
                                A guide to how much the University spends on supporting services such as libraries and IT.
                                Read more","Facilities Spend
                            
                            
                                Facilities Spend
                                A guide to how much the University spends on supporting facilities such as the careers service, health and counselling services and sport facilities.
                                Read more","Good Honours
                            
                            
                                Good Honours
                                The percentage of graduates achieving a first or upper second class honours degree – the class of degree achieved can impact a graduate’s employment prospects.
                                    Maximum score: 100.0
                                Read more","Degree Completion
                            
                            
                                Degree Completion
                                The proportion of students expected to successfully complete their studies and gain a degree from the University.
                                    Maximum score: 100.0
                                Read more","Overall Score
                            
                            
                                Overall Score
                                The total score calculated by our independent and trusted methodology, comprising entry standards, student satisfaction, research assessment (quality and intensity), graduate prospects, student–staff ratio, academic services spend, facilities spend, good honours, and degree completion.
                                    Maximum score: 1000
                                Read more","Next Steps"
"1","","1st","0","Cambridge","592","4.14","3.33","0.95","87.8","11.0","2,604","859","92.1","98.9","1000","Profile
                                    Courses"
"2","","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Cambridge has ranked either 1st or 2nd in the University League Tables since their online conception in 2007. Applicants to the university may be asked to submit written work, or sit a test. The university interviews the majority of its undergraduate applicants. 
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"3","","2nd","0","Oxford","570","4.13","3.34","0.87","83.7","10.3","2,608","605","92.8","98.3","998","Profile
                                    Courses"
"4","","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Always ranking in the top 3 of the overall University League Tables, Oxford takes 1st place in the region South East table. The oldest university in the English-speaking world, Oxford developed major research capacity in natural and applied sciences during the 20th and early 21st centuries.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"5","","3rd","2","St Andrews","525","4.38","3.13","0.82","83.3","11.6","2,034","582","91.1","96.4","962","Profile
                                    Courses"
"6","","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
Third place in the overall 2018 League Tables, St Andrews places 1st in the regional Scottish table and for many of the individual table measures. The university offers a flexible degree structure and a variety of exchange programmes in the UK and abroad.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"7","","4th","1","London School of Economics","537","3.75","3.35","0.85","84.4","11.4","2,254","602","86.1","95.4","952","Profile
                                    Courses"
"8","","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                
LSE ranks top in the London regional table, and is 4th overall in the main 2018 University League Table. Many of the UG programmes allow students to combine different social science subjects. New areas of study originally pioneered by LSE include anthropology, criminology and international relations.
                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
